,_id,similarity_scores
77,77,"[(77, 1.0000001), (335, 0.8229951), (308, 0.807691), (939, 0.80011076), (963, 0.7992132), (412, 0.77924097), (847, 0.7743298), (663, 0.77376235), (953, 0.7731134), (569, 0.7705679)]"
78,78,"[(78, 1.0000001), (510, 0.8188211), (60, 0.7950604), (493, 0.7914645), (749, 0.7818886), (746, 0.77894735), (93, 0.7667322), (854, 0.7608109), (762, 0.7584097), (856, 0.75725627)]"
79,79,"[(79, 1.0000002), (989, 0.7755661), (187, 0.7663405), (560, 0.7635555), (824, 0.7626718), (437, 0.7592275), (663, 0.74979436), (162, 0.7479117), (362, 0.7472317), (194, 0.74643683)]"
80,80,"[(80, 1.0), (236, 0.73065305), (661, 0.7032067), (136, 0.69959754), (4, 0.69338524), (102, 0.6876542), (784, 0.67988837), (263, 0.6795942), (87, 0.6780658), (507, 0.6755864)]"
81,81,"[(81, 0.9999997), (980, 0.81449044), (932, 0.8069412), (958, 0.7760083), (961, 0.7758828), (123, 0.7711892), (864, 0.7700118), (556, 0.76083755), (17, 0.7601378), (863, 0.75850356)]"
82,82,"[(82, 0.99999976), (826, 0.81480724), (879, 0.78263676), (789, 0.7490436), (533, 0.73306394), (440, 0.73237276), (307, 0.73052835), (50, 0.7260463), (455, 0.7259928), (98, 0.72586536)]"
83,83,"[(83, 1.0), (126, 0.76190436), (238, 0.75884867), (7, 0.75415397), (40, 0.74061143), (172, 0.7357221), (1, 0.7320161), (168, 0.724761), (50, 0.7152467), (493, 0.7112282)]"
84,84,"[(84, 1.0), (840, 0.79965436), (856, 0.79056025), (725, 0.77534115), (268, 0.7713849), (320, 0.76254743), (737, 0.75779486), (768, 0.75519717), (999, 0.749472), (573, 0.7437011)]"
85,85,"[(85, 1.0), (771, 0.6521253), (761, 0.6476666), (419, 0.64634174), (892, 0.6417494), (729, 0.63172805), (758, 0.6254482), (897, 0.6244546), (716, 0.62135386), (582, 0.6080676)]"
86,86,"[(86, 0.99999994), (448, 0.7456274), (158, 0.73472154), (932, 0.73367274), (653, 0.72653806), (556, 0.71629417), (959, 0.71606266), (38, 0.7109768), (4, 0.70979035), (364, 0.70551693)]"
87,87,"[(87, 1.0000001), (136, 0.9481434), (294, 0.8085576), (791, 0.80402917), (263, 0.79999864), (201, 0.7980741), (55, 0.79616666), (880, 0.7812904), (642, 0.7763608), (888, 0.770589)]"
88,88,"[(88, 1.0), (65, 0.802754), (76, 0.7905289), (726, 0.7836336), (377, 0.7787763), (360, 0.7681571), (788, 0.76129484), (64, 0.7470709), (870, 0.7450378), (374, 0.7435227)]"
89,89,"[(89, 1.0000001), (588, 0.783062), (786, 0.77995616), (90, 0.7754545), (521, 0.7579351), (752, 0.7482542), (880, 0.7404846), (427, 0.7375828), (483, 0.7274697), (213, 0.7226894)]"
90,90,"[(90, 1.0), (89, 0.7754545), (553, 0.74345016), (528, 0.72870207), (646, 0.722599), (891, 0.7119775), (100, 0.70368284), (897, 0.7020144), (588, 0.700496), (521, 0.6999029)]"
